feature1,feature2,label
-2.773150,-2.998098,0
1.386072,-0.722630,0
-2.118081,0.650799,0
0.425615,-0.768676,0
3.637959,3.429679,1
0.160448,1.301030,1
-0.181076,1.257309,1
1.025105,-0.771992,0
0.519074,0.652346,1
-0.029412,-0.530290,1
1.866814,2.132847,1
3.195546,3.209784,1
-1.334199,-1.814663,0
1.172820,-2.173276,0
-1.540680,-3.148822,0
-1.170518,-3.265954,0
1.257113,0.825987,0
-0.488958,0.214903,1
-0.568471,-2.827652,0
-2.058140,-2.677162,0
-1.685745,-0.974464,0
-1.514691,-2.642298,0
0.873303,-0.748835,1
-3.791906,-4.049572,0
0.840529,1.164961,1
-0.496990,-4.489958,0
0.213956,-1.548445,0
0.160569,-0.983043,1
-3.008066,-1.972230,0
-0.524485,-0.095487,1
-0.916376,-1.172124,0
-0.149292,-1.257484,0
-0.011983,0.095398,0
0.887234,-0.167101,1
1.309810,1.542619,1
0.557028,-3.495897,0
0.302094,0.346119,0
-0.323828,-3.183907,0
1.031382,2.644909,1
-0.759977,-0.978583,0
1.117577,0.342626,1
-0.457499,-1.922773,0
-1.346060,-2.751196,0
-0.621617,-2.918759,1
2.432377,0.709272,1
-3.649547,-2.614780,0
0.759744,0.107265,1
0.776805,3.740550,1
2.795023,2.370486,1
0.727167,1.091248,1
-1.050011,-0.206004,0
-2.148653,-1.400520,0
0.299789,-1.950019,0
-2.174897,-2.391014,0
-0.482699,-0.259636,1
0.128153,0.137719,0
-1.601849,-1.829615,0
0.678989,1.313755,1
-0.756929,-2.358154,0
1.303681,0.872593,1
2.083364,1.438928,1
0.242464,-3.533810,0
-1.464447,-3.179444,0
-1.263144,-1.783722,0
-1.076931,0.346517,0
0.080131,0.334006,0
0.025667,1.978323,1
0.938844,0.791380,1
-1.250605,-1.865333,0
-0.968140,-2.006661,0
0.495802,1.799405,1
-0.128008,-1.979973,0
1.686742,0.218003,1
0.048967,-0.387937,0
-0.860661,-3.302971,0
0.402344,-0.445146,0
1.228611,1.447040,1
0.132596,1.908673,1
-0.377367,-1.056270,1
-0.596781,1.620808,1
-1.438277,-0.893802,0
-0.534431,1.823468,1
0.358339,1.256631,1
-1.774901,-2.540166,0
-0.816743,-0.942358,0
-0.646068,-0.297669,0
-0.334636,-1.296826,0
1.953670,-0.303679,1
-0.812564,-1.635120,1
-0.942733,-2.943824,0
1.507900,-0.123467,1
0.093706,3.006030,1
-0.486474,-0.394044,0
0.736114,-3.363880,0
-2.040026,-1.469621,0
-1.162993,-0.645792,1
-1.732207,-1.074360,0
0.917433,2.628866,1
-0.453544,0.034607,1
1.560243,0.803878,1
-1.867919,-3.369108,0
-0.002593,-0.367429,1
0.988026,0.310920,0
-1.998187,-1.915582,0
-1.527262,-4.888787,0
-1.636772,0.101455,0
-0.984816,-0.620680,0
-0.763731,-0.971147,1
1.304864,-1.348825,0
1.769826,3.984239,1
1.637125,2.053844,1
-0.195454,0.587839,1
1.075126,0.978380,1
2.920303,1.518052,1
0.108370,-2.808664,0
1.959123,0.898637,0
-1.036737,-2.252001,0
0.671087,0.969640,1
-0.496100,-0.643142,0
-0.799655,-2.122362,0
1.567290,2.282411,1
1.186066,1.464483,1
0.532121,0.278583,1
0.294842,0.325227,0
-2.253337,-2.705931,0
2.398509,0.685658,1
-0.216318,2.842452,1
-0.836214,-1.557647,0
1.641829,4.080383,1
0.846677,2.371604,1
-0.200814,1.145656,0
0.509346,1.655338,1
1.163502,0.865376,1
-0.892393,1.679520,0
1.462263,2.414627,1
-2.968156,-1.831011,0
-1.015415,0.416915,0
1.120869,2.730005,1
-1.091578,-2.146201,0
-1.206998,-2.404877,0
0.084634,-1.383230,0
0.266499,1.462376,1
-0.629328,-0.056451,0
0.299106,-0.480051,1
-1.218264,1.685312,1
-0.281994,0.542481,1
0.450066,1.473933,1
-1.613280,-3.189408,0
-0.886265,-1.542554,0
1.571448,1.808106,1
-1.422489,-2.802597,0
-3.476747,-2.769043,0
-2.656130,-3.014676,0
1.042017,1.792086,1
0.667202,-0.244609,0
-2.136976,-1.850353,0
1.253244,1.267766,0
1.227174,0.595060,1
0.254626,2.830237,1
-1.685140,-1.674770,0
1.829394,1.523413,1
0.848906,1.936611,1
1.039452,-2.946056,0
-0.742731,-0.367829,0
-0.743671,-0.739350,0
-2.211989,-1.950780,0
-3.672124,-3.227731,0
0.685614,0.412593,1
-0.573499,-2.019180,1
1.853919,1.949829,1
-1.802107,-1.297736,0
0.860046,0.545122,1
1.618016,2.300131,1
0.656470,1.625506,1
-1.612980,-3.589617,0
-1.058674,-3.131651,0
-1.272581,-1.758263,0
-0.563851,-0.539426,1
-1.501855,-0.310752,1
0.018735,1.432793,1
0.391488,-1.063290,0
-1.952233,-1.822688,0
-1.516923,1.070173,1
0.093586,-1.451928,0
1.192721,0.322912,0
-1.334125,-2.459599,0
-0.632254,-0.443818,0
0.143901,-0.028496,1
0.939234,-0.165687,1
0.209229,-0.783940,0
-2.102813,-2.347451,0
-2.637753,-2.191550,0
0.437511,-0.551090,0
-0.282190,-0.300193,1
0.287501,-2.393372,0
-1.803470,-3.064576,0
0.180221,0.408888,0
0.593937,-0.898731,0
0.119324,0.124256,1
-2.311938,-3.188906,0
2.610395,0.028679,1
-1.466131,-1.135895,0
-1.754522,-0.069098,0
0.220446,0.378148,1
-0.338989,-2.433925,0
1.184191,4.186125,1
3.025609,2.799385,1
2.660618,2.042392,1
0.828861,0.605209,1
2.338224,2.131384,1
0.102449,1.436645,1
-2.078423,-4.126630,0
0.145715,-0.579768,0
1.470154,0.887802,1
-1.353587,-1.030874,1
1.209169,2.365073,1
0.041813,-0.526851,0
1.288815,0.219366,1
-1.628631,0.068087,1
-0.544298,0.886512,0
-2.924801,-3.949559,0
0.793444,1.442086,1
3.297017,3.031027,1
1.669977,-0.504920,0
1.737380,1.612293,1
1.204429,-0.493964,0
-2.778911,-1.588773,0
1.563222,0.465297,0
-1.168631,-1.076183,0
-0.362624,-0.567353,0
0.309903,2.161473,1
-2.585123,-2.023911,0
2.243401,2.420496,1
-1.738717,-2.142024,0
-2.335008,-0.908203,0
-3.636885,-4.813816,0
0.475662,-0.327915,1
-1.057365,-0.939862,0
-1.041051,-0.243665,0
-1.359825,0.435068,0
-1.031681,-1.650339,0
-1.270408,-0.635934,0
-1.792306,-3.083566,0
1.285020,2.000839,1
-2.930355,-2.656886,0
2.681903,1.282501,1
-0.687049,-0.190092,1
-1.301347,-0.313292,0
1.249478,2.720144,1
0.556361,1.164818,1
-0.777732,-1.104971,1
-2.678622,-5.127955,0
-1.428783,-1.327940,0
2.541489,0.289698,1
2.060759,3.703991,1
1.439974,2.040081,1
1.419113,1.806175,1
0.207604,0.811871,1
1.079811,2.258017,1
-1.942857,-1.607711,0
-2.064179,-3.710512,0
1.655097,-1.860097,0
-0.672356,-2.263338,1
-1.152828,-2.838286,0
0.987930,1.113171,1
0.195215,0.794192,1
2.634151,2.071758,1
-0.245750,1.881225,1
1.284775,1.009665,0
-3.224360,-1.165676,0
-0.691675,0.239231,1
1.509695,1.594590,1
-2.541791,-0.161404,0
-1.185808,-1.783169,0
1.264605,1.668289,1
-0.235060,1.635126,0
-0.581776,2.615705,1
0.136594,-1.006486,0
1.292412,0.874288,1
-2.838790,-1.750996,0
-1.953783,-2.361743,0
0.486374,-0.111152,0
2.490176,2.423345,1
1.441215,2.358261,0
0.020187,-0.908915,0
0.427192,-2.117957,0
-2.007464,-0.255997,0
0.507233,0.717090,1
1.031577,4.328941,1
-2.306409,-2.493642,0
-0.885536,-0.898845,0
-0.702731,-2.434939,0
-0.997905,-3.367509,0
-2.124748,-4.265707,0
0.177378,1.308691,0
1.158363,0.212234,1
-0.846945,-1.474330,0
-2.198913,-2.446958,0
1.184338,1.440606,1
1.946321,0.377133,1
-1.087965,-1.186176,0
1.022438,1.757876,1
-0.752779,2.178603,1
0.435559,-0.780831,0
-0.161692,-3.054137,0
0.616264,-0.095132,1
-1.405805,1.543657,1
0.405421,-1.003088,1
-0.135823,2.807272,1
-0.496169,1.166180,1
-0.440537,-5.770649,0
2.790099,3.296568,1
-0.827537,-2.890450,0
0.455066,1.183651,1
1.705474,0.501070,1
-1.060588,-2.759630,0
0.376622,-2.352767,0
-0.982966,0.102560,0
0.405901,0.804716,1
1.040249,0.322315,0
1.543556,1.761667,1
-0.233301,-1.464470,0
2.256119,2.261245,1
0.691395,0.538304,1
-0.961437,-2.064647,0
0.379176,-0.505005,0
-0.720119,2.260531,1
0.407061,1.080007,0
1.964111,1.025915,1
-1.236886,-0.731460,1
-2.435809,0.105487,0
1.394366,3.747164,1
2.129906,1.521641,1
0.228347,0.258175,0
-1.146194,-3.274046,0
-0.964539,0.755372,0
-0.684587,1.333351,1
1.339452,2.257947,1
-0.516001,1.431708,1
-0.036520,1.188089,1
-3.134214,-2.943009,0
-2.664968,-3.460880,0
0.855963,-1.784628,0
0.751429,2.039381,1
-1.042366,-0.937846,0
1.871034,1.704776,1
-0.643672,-1.192848,1
-1.445980,-3.122303,0
0.599598,0.080133,0
0.833877,-0.022605,1
-0.420271,-2.533597,0
2.219030,2.602912,1
-2.558618,-1.967841,0
0.889446,2.023822,1
-0.464307,-1.439367,1
1.725313,3.189913,1
-0.704696,-0.696922,0
1.814226,3.108392,1
-1.274096,-0.415265,0
-0.326965,-3.067883,0
-1.412703,-1.714213,0
1.368870,2.008884,1
-2.807481,-5.114589,0
-2.922717,-1.604910,0
-0.500316,-1.098006,0
-1.705368,-1.599786,0
-1.713917,-0.994485,0
1.292212,0.812923,1
-1.499155,-3.346047,0
-0.445717,2.332235,1
-1.835379,-1.018550,0
1.951852,2.080176,1
-0.325349,-2.659714,0
-2.693287,-1.281768,0
0.592015,2.467519,1
0.756761,-0.902455,1
-0.246750,1.869554,1
-1.765870,-1.508599,0
-1.243498,-1.451641,0
1.870946,1.357240,1
4.152895,2.523159,1
0.935308,2.429182,1
2.482816,5.696793,1
-0.160825,0.176264,0
0.619049,0.498376,1
2.332342,-0.361975,1
0.112355,-0.119248,1
-0.323104,-0.939459,0
-0.820763,0.014049,0
1.037501,2.008955,1
-1.371805,0.541420,1
1.635558,1.066138,1
-1.090003,-0.017606,1
-0.343956,-2.664242,0
-0.132448,-0.461181,0
-1.272742,-2.187960,1
-0.155571,1.630432,1
-1.318470,-2.233131,0
0.000224,0.630934,1
-1.118792,0.692416,1
0.104758,3.449775,1
-1.142500,-2.658972,0
1.623183,1.610561,1
-1.571487,-0.817511,0
1.322441,0.821905,1
1.005441,2.572441,1
0.160741,2.266098,1
-2.366849,-1.506259,0
-0.751096,-0.368734,1
1.168399,-0.295817,0
0.429552,1.734037,1
1.184346,1.539236,1
